cond_id,wave_deg,pip_deg,mcp_solved_deg,mass,gap,tilt_deg,f_star,n_trials,n_no_grasp,wall_s
w-15.0_p-05.0_m060,-15.0,-5.0,4.635925292968749,0.06,0.02400088324857121,0.0930236506112746,,2,2,3.3874382972717285
w-15.0_p-05.0_m030,-15.0,-5.0,4.635925292968749,0.03,0.02400088324857121,0.0930236506112746,,2,2,3.4224534034729004
w-15.0_p-02.0_m030,-15.0,-2.0,2.95867919921875,0.03,0.02400036892578904,0.8741993659602783,,2,2,3.4362292289733887
w-15.0_p-02.0_m060,-15.0,-2.0,2.95867919921875,0.06,0.02400036892578904,0.8741993659602783,,2,2,3.4784045219421387
w-15.0_p-05.0_m120,-15.0,-5.0,4.635925292968749,0.12,0.02400088324857121,0.0930236506112746,,2,2,3.4960875511169434
w-15.0_p-02.0_m120,-15.0,-2.0,2.95867919921875,0.12,0.02400036892578904,0.8741993659602783,,2,2,3.476182460784912
w-15.0_p+02.0_m060,-15.0,2.0,0.47698974609375006,0.06,0.02400091298620592,0.8151291370499892,,2,0,33.78301000595093
w-15.0_p+06.0_m120,-15.0,6.0,-2.0510864257812504,0.12,0.02400037605177899,0.8698304880826092,,2,0,32.674516677856445
w-15.0_p+06.0_m060,-15.0,6.0,-2.0510864257812504,0.06,0.02400037605177899,0.8698304880826092,,2,0,36.956403970718384
w-15.0_p+04.0_m060,-15.0,4.0,-0.7876586914062499,0.06,0.024000022927292367,0.5403763510789307,,2,0,42.14071536064148
w-15.0_p+08.0_m060,-15.0,8.0,-3.3108520507812496,0.06,0.024000514281553906,0.8019991396371862,,2,0,39.602588415145874
w-07.5_p-05.0_m030,-7.5,-5.0,4.635925292968749,0.03,0.024000883248571196,0.0930236506112746,,2,2,3.3988823890686035
w-07.5_p-05.0_m060,-7.5,-5.0,4.635925292968749,0.06,0.024000883248571196,0.0930236506112746,,2,2,3.3165221214294434
w-07.5_p-05.0_m120,-7.5,-5.0,4.635925292968749,0.12,0.024000883248571196,0.0930236506112746,,2,2,3.223355531692505
w-07.5_p-02.0_m030,-7.5,-2.0,2.95867919921875,0.03,0.024000368925789054,0.8741993659602783,,2,2,3.243380308151245
w-15.0_p+00.0_m030,-15.0,0.0,1.7449951171875,0.03,0.0240001522974653,0.7617923414991248,,2,0,58.71275091171265
w-15.0_p+06.0_m030,-15.0,6.0,-2.0510864257812504,0.03,0.02400037605177899,0.8698304880826092,,2,0,55.45230674743652
w-15.0_p+02.0_m030,-15.0,2.0,0.47698974609375006,0.03,0.02400091298620592,0.8151291370499892,,2,0,59.32793855667114
w-07.5_p-02.0_m060,-7.5,-2.0,2.95867919921875,0.06,0.024000368925789054,0.8741993659602783,,2,2,3.1066203117370605
w-07.5_p-02.0_m120,-7.5,-2.0,2.95867919921875,0.12,0.024000368925789054,0.8741993659602783,,2,2,3.000729560852051
w-15.0_p+04.0_m030,-15.0,4.0,-0.7876586914062499,0.03,0.024000022927292367,0.5403763510789307,,2,0,64.15428018569946
w-15.0_p+00.0_m060,-15.0,0.0,1.7449951171875,0.06,0.0240001522974653,0.7617923414991248,,2,0,69.82546424865723
w-15.0_p+08.0_m030,-15.0,8.0,-3.3108520507812496,0.03,0.024000514281553906,0.8019991396371862,,2,0,66.90088295936584
w-15.0_p+08.0_m120,-15.0,8.0,-3.3108520507812496,0.12,0.024000514281553906,0.8019991396371862,,2,0,36.59268593788147
w-15.0_p+10.0_m120,-15.0,10.0,-4.56451416015625,0.12,0.024000122966779776,0.44723282864751684,,2,0,37.680859327316284
w-15.0_p+10.0_m060,-15.0,10.0,-4.56451416015625,0.06,0.024000122966779776,0.44723282864751684,,2,0,42.95695877075195
w-15.0_p+10.0_m030,-15.0,10.0,-4.56451416015625,0.03,0.024000122966779776,0.44723282864751684,,2,0,59.046157360076904
w-07.5_p+00.0_m060,-7.5,0.0,1.7449951171875,0.06,0.024000152297465258,0.7617923415048661,,2,0,60.963414669036865
w-15.0_p+02.0_m120,-15.0,2.0,0.47698974609375006,0.12,0.02400091298620592,0.8151291370499892,,2,0,121.88415026664734
w-15.0_p+04.0_m120,-15.0,4.0,-0.7876586914062499,0.12,0.024000022927292367,0.5403763510789307,,2,0,119.65620493888855
w-15.0_p+00.0_m120,-15.0,0.0,1.7449951171875,0.12,0.0240001522974653,0.7617923414991248,,2,0,145.5207154750824
w-07.5_p+02.0_m060,-7.5,2.0,0.47698974609375006,0.06,0.024000912986205894,0.8151291370526721,,2,0,83.66067457199097
w-07.5_p+00.0_m030,-7.5,0.0,1.7449951171875,0.03,0.024000152297465258,0.7617923415048661,,2,0,95.40830636024475
w-07.5_p+02.0_m030,-7.5,2.0,0.47698974609375006,0.03,0.024000912986205894,0.8151291370526721,,2,0,92.9332103729248
w-07.5_p+04.0_m060,-7.5,4.0,-0.7876586914062499,0.06,0.024000022927292405,0.5403763510775818,,2,0,86.35130858421326
w+00.0_p-05.0_m030,0.0,-5.0,4.635925292968749,0.03,0.024000883248571227,0.0930236506112746,,2,2,3.4267749786376953
w+00.0_p-05.0_m060,0.0,-5.0,4.635925292968749,0.06,0.024000883248571227,0.0930236506112746,,2,2,3.322862148284912
w-07.5_p+04.0_m030,-7.5,4.0,-0.7876586914062499,0.03,0.024000022927292405,0.5403763510775818,,2,0,93.86717462539673
w+00.0_p-05.0_m120,0.0,-5.0,4.635925292968749,0.12,0.024000883248571227,0.0930236506112746,,2,2,3.6457643508911133
w+00.0_p-02.0_m030,0.0,-2.0,2.95867919921875,0.03,0.02400036892578904,0.8741993659602783,,2,2,3.4796783924102783
w+00.0_p-02.0_m060,0.0,-2.0,2.95867919921875,0.06,0.02400036892578904,0.8741993659602783,,2,2,3.28657603263855
w+00.0_p-02.0_m120,0.0,-2.0,2.95867919921875,0.12,0.02400036892578904,0.8741993659602783,,2,2,3.223313093185425
w-07.5_p+06.0_m030,-7.5,6.0,-2.0510864257812504,0.03,0.02400037605177899,0.8698304880826092,,2,0,95.79665899276733
w-07.5_p+06.0_m120,-7.5,6.0,-2.0510864257812504,0.12,0.02400037605177899,0.8698304880826092,,2,0,69.65783333778381
w-07.5_p+06.0_m060,-7.5,6.0,-2.0510864257812504,0.06,0.02400037605177899,0.8698304880826092,,2,0,98.61424970626831
w-07.5_p+10.0_m120,-7.5,10.0,-4.56451416015625,0.12,0.024000122966779856,0.4472328286467019,,2,0,51.9762167930603
w-07.5_p+08.0_m030,-7.5,8.0,-3.3108520507812496,0.03,0.02400051428155389,0.8019991396371862,,2,0,87.84447121620178
w-07.5_p+10.0_m030,-7.5,10.0,-4.56451416015625,0.03,0.024000122966779856,0.4472328286467019,,2,0,67.24409675598145
w-07.5_p+08.0_m060,-7.5,8.0,-3.3108520507812496,0.06,0.02400051428155389,0.8019991396371862,,2,0,95.16968250274658
w-07.5_p+10.0_m060,-7.5,10.0,-4.56451416015625,0.06,0.024000122966779856,0.4472328286467019,,2,0,65.6797091960907
w-07.5_p+08.0_m120,-7.5,8.0,-3.3108520507812496,0.12,0.02400051428155389,0.8019991396371862,,2,0,79.01219391822815
w-07.5_p+02.0_m120,-7.5,2.0,0.47698974609375006,0.12,0.024000912986205894,0.8151291370526721,,2,0,171.20179200172424
w-07.5_p+04.0_m120,-7.5,4.0,-0.7876586914062499,0.12,0.024000022927292405,0.5403763510775818,,2,0,176.80867457389832
w-07.5_p+00.0_m120,-7.5,0.0,1.7449951171875,0.12,0.024000152297465258,0.7617923415048661,,2,0,254.75266361236572
w+00.0_p+02.0_m030,0.0,2.0,0.47698974609375006,0.03,0.024000912986205936,0.8151291370549079,,2,0,218.7690601348877
w+00.0_p+00.0_m030,0.0,0.0,1.7449951171875,0.03,0.024000152297465247,0.7617923415019954,,2,0,255.14945650100708
w+00.0_p+04.0_m030,0.0,4.0,-0.7876586914062499,0.03,0.024000022927292405,0.5403763510775818,,2,0,221.02898383140564
w+00.0_p+06.0_m030,0.0,6.0,-2.0510864257812504,0.03,0.024000376051778977,0.8698304880826092,,2,0,216.45704054832458
w+00.0_p+08.0_m030,0.0,8.0,-3.3108520507812496,0.03,0.02400051428155386,0.8019991396371862,,2,0,211.90758180618286
w+07.5_p-05.0_m030,7.5,-5.0,4.635925292968749,0.03,0.024000883248571175,0.0930236506112746,,2,2,3.623906135559082
w+07.5_p-05.0_m060,7.5,-5.0,4.635925292968749,0.06,0.024000883248571175,0.0930236506112746,,2,2,3.848311185836792
w+07.5_p-05.0_m120,7.5,-5.0,4.635925292968749,0.12,0.024000883248571175,0.0930236506112746,,2,2,3.4805331230163574
w+07.5_p-02.0_m030,7.5,-2.0,2.95867919921875,0.03,0.024000368925789068,0.8741993659602783,,2,2,3.3450734615325928
w+07.5_p-02.0_m060,7.5,-2.0,2.95867919921875,0.06,0.024000368925789068,0.8741993659602783,,2,2,3.3213093280792236
w+07.5_p-02.0_m120,7.5,-2.0,2.95867919921875,0.12,0.024000368925789068,0.8741993659602783,,2,2,3.177203893661499
w+07.5_p+00.0_m030,7.5,0.0,1.7449951171875,0.03,0.024000152297465268,0.7617923415005601,,2,0,93.69074940681458
w+00.0_p+10.0_m030,0.0,10.0,-4.56451416015625,0.03,0.024000122966779797,0.44723282864425706,,2,0,215.9213001728058
w+07.5_p+00.0_m060,7.5,0.0,1.7449951171875,0.06,0.024000152297465268,0.7617923415005601,,2,0,68.59672331809998
w+00.0_p+04.0_m120,0.0,4.0,-0.7876586914062499,0.12,0.024000022927292405,0.5403763510775818,,2,0,446.7307562828064
w+00.0_p+06.0_m120,0.0,6.0,-2.0510864257812504,0.12,0.024000376051778977,0.8698304880826092,,2,0,446.9184215068817
w+07.5_p+02.0_m030,7.5,2.0,0.47698974609375006,0.03,0.024000912986205894,0.8151291370549079,,2,0,89.427001953125
w+07.5_p+02.0_m060,7.5,2.0,0.47698974609375006,0.06,0.024000912986205894,0.8151291370549079,,2,0,94.13659453392029
w+00.0_p+10.0_m120,0.0,10.0,-4.56451416015625,0.12,0.024000122966779797,0.44723282864425706,,2,0,338.9894025325775
w+00.0_p+10.0_m060,0.0,10.0,-4.56451416015625,0.06,0.024000122966779797,0.44723282864425706,,2,0,398.05596590042114
w+07.5_p+04.0_m030,7.5,4.0,-0.7876586914062499,0.03,0.024000022927292378,0.5403763510775818,,2,0,90.58695578575134
w+00.0_p+08.0_m120,0.0,8.0,-3.3108520507812496,0.12,0.02400051428155386,0.8019991396371862,,2,0,444.29651641845703
w+07.5_p+04.0_m060,7.5,4.0,-0.7876586914062499,0.06,0.024000022927292378,0.5403763510775818,,2,0,94.47845101356506
w+07.5_p+02.0_m120,7.5,2.0,0.47698974609375006,0.12,0.024000912986205894,0.8151291370549079,,2,0,175.5947322845459
w+07.5_p+00.0_m120,7.5,0.0,1.7449951171875,0.12,0.024000152297465268,0.7617923415005601,,2,0,258.8314311504364
w+07.5_p+06.0_m030,7.5,6.0,-2.0510864257812504,0.03,0.024000376051778977,0.8698304880826092,,2,0,97.4984040260315
w+07.5_p+06.0_m120,7.5,6.0,-2.0510864257812504,0.12,0.024000376051778977,0.8698304880826092,,2,0,79.13898253440857
w+07.5_p+06.0_m060,7.5,6.0,-2.0510864257812504,0.06,0.024000376051778977,0.8698304880826092,,2,0,103.60820174217224
w+07.5_p+08.0_m030,7.5,8.0,-3.3108520507812496,0.03,0.024000514281553906,0.8019991396371862,,2,0,95.22243046760559
w+15.0_p-05.0_m030,15.0,-5.0,4.635925292968749,0.03,0.024000883248571244,0.0930236506112746,,2,2,3.9062516689300537
w+15.0_p-05.0_m060,15.0,-5.0,4.635925292968749,0.06,0.024000883248571244,0.0930236506112746,,2,2,4.186843633651733
w+07.5_p+04.0_m120,7.5,4.0,-0.7876586914062499,0.12,0.024000022927292378,0.5403763510775818,,2,0,183.25505471229553
w+15.0_p-05.0_m120,15.0,-5.0,4.635925292968749,0.12,0.024000883248571244,0.0930236506112746,,2,2,3.6191835403442383
w+15.0_p-02.0_m030,15.0,-2.0,2.95867919921875,0.03,0.02400036892578904,0.8741993659602783,,2,2,3.583789348602295
w+15.0_p-02.0_m060,15.0,-2.0,2.95867919921875,0.06,0.02400036892578904,0.8741993659602783,,2,2,3.6189215183258057
w+15.0_p-02.0_m120,15.0,-2.0,2.95867919921875,0.12,0.02400036892578904,0.8741993659602783,,2,2,3.575195074081421
w+07.5_p+08.0_m060,7.5,8.0,-3.3108520507812496,0.06,0.024000514281553906,0.8019991396371862,,2,0,103.03781223297119
w+07.5_p+10.0_m120,7.5,10.0,-4.56451416015625,0.12,0.02400012296677988,0.44723282864425706,,2,0,59.926390171051025
w+07.5_p+10.0_m030,7.5,10.0,-4.56451416015625,0.03,0.02400012296677988,0.44723282864425706,,2,0,77.79301404953003
w+07.5_p+10.0_m060,7.5,10.0,-4.56451416015625,0.06,0.02400012296677988,0.44723282864425706,,2,0,72.48025608062744
w+15.0_p+00.0_m030,15.0,0.0,1.7449951171875,0.03,0.024000152297465292,0.7617923415005601,,2,0,63.077099084854126
w+15.0_p+00.0_m060,15.0,0.0,1.7449951171875,0.06,0.024000152297465292,0.7617923415005601,,2,0,72.3987045288086
w+15.0_p+02.0_m060,15.0,2.0,0.47698974609375006,0.06,0.024000912986205894,0.8151291370549079,,2,0,39.868157386779785
w+07.5_p+08.0_m120,7.5,8.0,-3.3108520507812496,0.12,0.024000514281553906,0.8019991396371862,,2,0,155.73530173301697
w+15.0_p+02.0_m030,15.0,2.0,0.47698974609375006,0.03,0.024000912986205894,0.8151291370549079,,2,0,65.13852000236511
w+15.0_p+04.0_m060,15.0,4.0,-0.7876586914062499,0.06,0.024000022927292336,0.5403763510775818,,2,0,47.89766979217529
w+15.0_p+04.0_m030,15.0,4.0,-0.7876586914062499,0.03,0.024000022927292336,0.5403763510775818,,2,0,71.19297361373901
w+15.0_p+06.0_m060,15.0,6.0,-2.0510864257812504,0.06,0.024000376051778977,0.8698304880826092,,2,0,45.69753837585449
w+15.0_p+00.0_m120,15.0,0.0,1.7449951171875,0.12,0.024000152297465292,0.7617923415005601,,2,0,152.86255145072937
w+15.0_p+06.0_m030,15.0,6.0,-2.0510864257812504,0.03,0.024000376051778977,0.8698304880826092,,2,0,67.87817001342773
w+15.0_p+06.0_m120,15.0,6.0,-2.0510864257812504,0.12,0.024000376051778977,0.8698304880826092,,2,0,39.34687542915344
w+15.0_p+02.0_m120,15.0,2.0,0.47698974609375006,0.12,0.024000912986205894,0.8151291370549079,,2,0,128.65356588363647
w+15.0_p+08.0_m060,15.0,8.0,-3.3108520507812496,0.06,0.02400051428155389,0.8019991396371862,,2,0,45.355000495910645
w+15.0_p+08.0_m120,15.0,8.0,-3.3108520507812496,0.12,0.02400051428155389,0.8019991396371862,,2,0,40.15450143814087
w+15.0_p+04.0_m120,15.0,4.0,-0.7876586914062499,0.12,0.024000022927292336,0.5403763510775818,,2,0,125.06721472740173
w+15.0_p+08.0_m030,15.0,8.0,-3.3108520507812496,0.03,0.02400051428155389,0.8019991396371862,,2,0,72.52131152153015
w+15.0_p+10.0_m060,15.0,10.0,-4.56451416015625,0.06,0.02400012296677979,0.44723282864425706,,2,0,46.56409811973572
w+15.0_p+10.0_m120,15.0,10.0,-4.56451416015625,0.12,0.02400012296677979,0.44723282864425706,,2,0,40.34629464149475
w+15.0_p+10.0_m030,15.0,10.0,-4.56451416015625,0.03,0.02400012296677979,0.44723282864425706,,2,0,56.91386151313782
w+00.0_p+00.0_m060,0.0,0.0,1.7449951171875,0.06,0.024000152297465247,0.7617923415019954,0.36452574788569286,18,0,1246.727519273758
w+00.0_p+02.0_m060,0.0,2.0,0.47698974609375006,0.06,0.024000912986205936,0.8151291370549079,0.36452574788569286,18,0,1238.832680463791
w+00.0_p+04.0_m060,0.0,4.0,-0.7876586914062499,0.06,0.024000022927292405,0.5403763510775818,0.36452574788569286,18,0,1248.4135484695435
w+00.0_p+06.0_m060,0.0,6.0,-2.0510864257812504,0.06,0.024000376051778977,0.8698304880826092,0.36452574788569286,18,0,1257.9408712387085
w+00.0_p+02.0_m120,0.0,2.0,0.47698974609375006,0.12,0.024000912986205936,0.8151291370549079,0.6128760684315295,18,0,1343.2605292797089
w+00.0_p+08.0_m060,0.0,8.0,-3.3108520507812496,0.06,0.02400051428155386,0.8019991396371862,0.36452574788569286,18,0,1263.236322402954
w+00.0_p+00.0_m120,0.0,0.0,1.7449951171875,0.12,0.024000152297465247,0.7617923415019954,0.5944282763679837,18,0,1414.791034936905
